Date : 2023-03-30 22:16:44
Directory : e:\毕业设计相关\果帕雅微信小程序
Total : 296 files,  25332 codes, 3165 comments, 1899 blanks, all 30396 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.wxml         | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.wxss         | CSS        |          0 |          0 |          3 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.js                       | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.json                     | JSON       |          7 |          0 |          1 |          8 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.wxml                     | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox\checkbox.wxss                     | CSS        |          0 |          0 |          3 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.js                           | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.json                         | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.wxml                         | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\dialog\dialog.wxss                         | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.js                     | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.json                   | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.wxml                   | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form-page\form-page.wxss                   | CSS        |          0 |          0 |          3 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form\form.js                               | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form\form.json                             | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\form\form.wxml                             | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.js                         | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.json                       | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.wxml                       | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\gallery\gallery.wxss                       | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.js                             | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.json                           | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.wxml                           | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\grids\grids.wxss                           | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.js   | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.json | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.wxml | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\half-screen-dialog\half-screen-dialog.wxss | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.js                               | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.json                             | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.wxml                             | wxml       |         12 |          0 |          1 |         13 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.wxss                             | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.js                                   | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.json                                 | JSON       |         25 |          0 |          1 |         26 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.wxml                                 | wxml       |          0 |          0 |          2 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.wxss                                 | CSS        |          2 |          4 |          3 |          9 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.js                         | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.json                       | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.wxml                       | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.wxss                       | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.js                                 | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.json                               | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.wxml                               | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.wxss                               | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.js           | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.json         | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.wxml         | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.wxss         | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.js                     | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.json                   | JSON       |          7 |          0 |          1 |          8 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.wxml                   | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.wxss                   | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.js                     | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.json                   | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.wxml                   | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.wxss                   | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.js                           | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.json                         | JSON       |          6 |          0 |          1 |          7 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.wxml                         | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\tabbar\tabbar.wxss                         | CSS        |         11 |          0 |          2 |         13 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.js                         | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.json                       | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.wxml                       | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\toptips\toptips.wxss                       | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.js                       | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.json                     | JSON       |          6 |          0 |          1 |          7 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.wxml                     | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\uploader\uploader.wxss                     | CSS        |          0 |          0 |          3 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\weui-wxss\dist\style\weui.wxss             | CSS        |          2 |          4 |          3 |          9 |
| e:\毕业设计相关\果帕雅微信小程序\package-lock.json                                                           | JSON       |        525 |          0 |          1 |        526 |
| e:\毕业设计相关\果帕雅微信小程序\package.json                                                                | JSON       |         21 |          0 |          1 |         22 |
| e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.js                                                     | JavaScript |        458 |         69 |          2 |        529 |
| e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.json                                                   | JSON       |          3 |          0 |          0 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.wxml                                                   | wxml       |        136 |         13 |          5 |        154 |
